model,algorithm,error_code,TpbSgCyclesSum,Tensorizer (sec),Layout (sec),BackendDriver (sec),production_total (sec),maxrss (gb),subgraphs,HLO instr.,Layout instr.,Tiling instr.,Backend instr.,num_operators,num_edges,Layout operator cost,Layout transpose cost,Layout (operator+transpose+IO) cost,Layout DMA cost,num_layout_transposes,estimated_non_local_tensors,num_pf_transposes,num_nonlocal_tensors,num_io_transposes
test_granite_3_1_3b_a800m_instruct_bs_1_seq_2048_context_encoding_model_MODULE_0660a9af043aa802f6fa_d08287f9_my,greedy,0,11648676657,5,0,5,11,0.5,12,139,1168188,12337,73551,90,65,3695798,1166790,4862588,0,41,0,3,0,21
test_kosmos_2_patch14_224_bs_1_seq_2048_context_encoding_model_MODULE_33802bd3dd0763be2ca4_ef3362a2_my,greedy,0,12221655542,6,0,4,11,0.3,3,103,2410140,26299,54363,46,76,3668386,1750490,5418876,0,31,0,17,0,5
test_FlexOlmo_7x7B_1T_bs_1_seq_2048_token_generation_model_MODULE_5cca1c1d9203d88de7fe_226b6d48_my,greedy,0,13903213247,5,1,30,36,1.4,1,380,13784824,69699,178967,95,108,9446680,49574,9496254,0,27,0,14,0,7
test_Llama_4_Scout_17B_16E_Instruct_bs_1_seq_2048_token_generation_model_MODULE_de20dd89898aee9b0880_5d041e77_my,greedy,0,14285671061,12,2,54,67,2.1,1,399,16953181,172148,379604,89,120,16826736,15694,16842430,0,18,0,16,0,3
test_kosmos_2_5_bs_1_seq_2048_context_encoding_model_MODULE_46b85e82ee8ac8fd8a46_aa185f83_my,greedy,0,17312038799,6,0,5,12,0.4,3,102,2125983,26410,106340,42,72,5459457,3606119,9065576,0,31,0,17,0,5
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_c4d21a18722498f1073a_8195bb5b_my,greedy,0,18157784298,2,0,2,5,0.4,12,42,3557149,17289,50832,48,34,4968421,987682,5956103,0,42,0,3,0,21
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_851642d793b5dd3ac6e1_f797af22_my,greedy,0,18159986379,2,0,2,5,0.4,12,42,3557149,17289,50832,48,34,4968421,987682,5956103,0,42,0,3,0,21
test_idefics_9b_instruct_bs_1_seq_2048_context_encoding_model_MODULE_32e068b253bd266cb1e0_ba0dd372_my,greedy,0,18161956324,2,0,2,6,0.4,12,42,3557149,17289,50832,48,34,4968421,987682,5956103,0,42,0,3,0,21
test_bert_base_uncased_type_auto_bs_8_seq_384_MODULE_4105355656076190947_plus_e30acd3a_my,greedy,0,18570184306,13,0,13,28,0.9,3,132,18409112,59051,132347,106,191,21675069,2024732,23699801,0,161,0,41,0,44
test_OLMo_2_1124_7B_bs_1_seq_2048_context_encoding_model_MODULE_b1ae2e7373b6f90bb499_fa07a7ae_my,greedy,0,20346520595,2,0,6,9,0.6,15,49,6566788,40959,104360,54,46,8980403,980636,9961039,0,39,0,3,0,22
test_resnet50_bs_16_MODULE_18211355964132859055_plus_080aa230_my,greedy,0,22208270374,41,1,29,72,2.2,1,1717,28008679,36362,132526,281,461,19748708,2716540,22465248,0,141,0,3,0,54
test_google_electra_large_discriminator_type_auto_bs_2_seq_512_MODULE_14975106339664645707_plus_e30acd3a_my,greedy,0,23134858421,22,0,15,38,0.8,3,132,18482678,58445,132384,190,347,25642584,4570774,30213358,0,293,0,77,0,80
test_musicgen_melody_bs_1_seq_2048_context_encoding_model_MODULE_5abcf46cdaab241254d6_da39bad3_my,greedy,0,27098107486,28,0,1,30,0.1,3,80,752466,4703,10994,36,58,1057556,64638,1122194,704270,20,0,11,0,2
test_bert_large_uncased_type_auto_bs_4_seq_384_MODULE_10369848347162771062_plus_e30acd3a_my,greedy,0,28688734356,20,1,22,43,1.3,3,480,27891314,106307,236860,218,399,35982151,5445590,41427741,0,337,0,89,0,92
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_token_generation_model_MODULE_0c5714630059b57a8f24_e5bb152a_my,greedy,0,30866021870,105,23,62,168,2.6,1,5237,29768260,263028,534226,1312,1702,40155662,469196,40624858,0,476,0,294,0,110
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_token_generation_model_MODULE_cc5bee7ecbc4de0fb6ec_31986bfa_my,greedy,0,30876163726,106,24,62,169,2.6,1,5237,29768260,263028,534226,1312,1702,40155662,469196,40624858,0,476,0,294,0,110
test_unet_B4_MODULE_8524853651227224637_plus_080aa230_my,greedy,0,43819228264,28,1,51,81,1.6,1,635,42202622,53562,222276,128,194,24440885,706650,25147535,0,39,0,0,0,17
test_albert_large_v2_type_auto_bs_4_seq_512_MODULE_6199784313081317653_plus_e30acd3a_my,greedy,0,44817688039,16,0,20,37,1.4,3,211,31469587,72246,177011,150,271,41970692,3963530,45934222,0,228,0,58,0,21
test_idefics_9b_instruct_bs_1_seq_2048_token_generation_model_MODULE_707f274f9d6ec9187dd7_39b7098c_my,greedy,0,49439972320,74,13,61,137,2.6,1,4055,26664483,262926,498282,1099,1379,37488583,2615102,40103685,0,452,0,256,0,98
