model,algorithm,error_code,TpbSgCyclesSum,Tensorizer (sec),Layout (sec),BackendDriver (sec),production_total (sec),maxrss (gb),subgraphs,HLO instr.,Layout instr.,Tiling instr.,Backend instr.,num_operators,num_edges,Layout operator cost,Layout transpose cost,Layout (operator+transpose+IO) cost,Layout DMA cost,num_layout_transposes,estimated_non_local_tensors,num_pf_transposes,num_nonlocal_tensors,num_io_transposes
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_7e0535c4f2dccb6b1f49_616aa696_my,greedy,0,4409119562,26,3,4,31,0.3,1,1349,2654155,21339,81227,176,322,5842597,1509078,7351675,0,101,0,75,0,1
test_mvp_bs_1_seq_2048_context_encoding_model_MODULE_3467b1dd433f5f79d8ed_4dd4fff6_my,greedy,0,4500901980,29,4,4,35,0.3,1,1659,2756082,21950,81546,197,339,5859793,1301648,7161441,0,99,0,73,0,1
test_mvp_bs_1_seq_2048_token_generation_model_MODULE_df607a0e3e9e2b79bba0_e497063b_my,greedy,0,4788191758,21,2,4,26,0.3,1,1104,1660787,21235,82491,317,535,35460652,160913,35621565,0,97,0,85,0,13
test_moshiko_pytorch_bf16_bs_1_seq_2048_token_generation_model_MODULE_b9af6a7d4fd6148cca67_4c3b8d52_my,greedy,0,5254295790,5,1,8,14,0.4,1,307,4665315,41117,80106,68,102,88818463,1889012,90707475,0,20,0,14,0,2
test_idefics_9b_instruct_bs_1_seq_2048_token_generation_model_MODULE_1aa6fe7059cbcb205c6d_fca5f804_my,greedy,0,5771151253,4,1,6,11,0.4,1,284,4216636,37084,72853,63,94,86804343,52325,86856668,0,13,0,10,0,2
test_idefics_9b_instruct_bs_1_seq_2048_token_generation_model_MODULE_c0cce8f031ef7c909481_260fbae1_my,greedy,0,5781288111,4,1,7,11,0.4,1,284,4216636,37084,72853,63,94,86804343,52325,86856668,0,13,0,10,0,2
test_idefics_9b_instruct_bs_1_seq_2048_token_generation_model_MODULE_b4352367d1c0286c09e2_dd2354e9_my,greedy,0,5819482751,8,1,9,18,0.5,1,345,4217562,44809,91067,68,104,86884666,49934,86934600,0,12,0,10,0,3
test_idefics_9b_instruct_bs_1_seq_2048_token_generation_model_MODULE_5ed8de4bcd592ad60482_4f0634bb_my,greedy,0,5821661262,8,1,9,18,0.5,1,345,4217562,44809,91067,68,104,86884666,49934,86934600,0,12,0,10,0,3
test_idefics_9b_instruct_bs_1_seq_2048_token_generation_model_MODULE_276e18e5370daff4a585_14bb390c_my,greedy,0,5823838343,8,1,9,18,0.5,1,345,4217562,44809,91067,68,104,86884666,49934,86934600,0,12,0,10,0,3
test_OLMoE_1B_7B_0924_bs_1_seq_2048_token_generation_model_MODULE_b627713df98508ccda0b_64534e1d_my,greedy,0,5911770870,43,5,9,53,0.5,1,2668,8364742,50574,94173,729,910,8132927,810364,8943291,0,243,0,144,0,51
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_token_generation_model_MODULE_f807af7e372488a22ecc_c78a4f38_my,greedy,0,6397930054,14,1,13,28,0.7,1,652,5469394,63522,133294,155,184,7294728,59761,7354489,0,59,0,35,0,14
test_Qwen3_VL_8B_Thinking_bs_1_seq_2048_token_generation_model_MODULE_9d08cbd4a685e851f0b0_13e7dd81_my,greedy,0,6424014320,14,1,13,28,0.7,1,636,5473552,63585,133288,148,183,7308332,55647,7363979,0,57,0,35,0,14
test_whisper_large_v3_turbo_decoder_bs_1_seq_100_my,greedy,0,7193128401,4,0,2,7,0.2,3,95,1315995,13354,51461,54,87,2650295,1489019,4139314,0,83,0,22,0,56
